Status,Alarm,Clients,Clients (2.4G),Clients (5G),Airtime Utilization (2.4G),Airtime Utilization (5G),Traffic (uplink),Traffic (downlink)
Online,0,0,0,0,27,0,2646086,30107614
Online,0,4,3,1,5,0,15428302,186166600
Online,0,2,2,0,10,0,74010904,677479660
Online,0,0,0,0,18,0,1849593,20990734
Online,0,4,4,0,5,0,30428835,1474203698
Online,0,1,1,0,6,1,5521004,145341921
Online,0,3,3,0,4,0,2439827,48449780
Online,0,7,4,3,10,2,76944955,776838821
Online,0,2,2,0,10,0,163755173,68829570
Online,0,2,2,0,13,1,5195931,69861595
Online,0,3,3,0,20,0,163377,628273
Online,0,3,3,0,1,0,1801713,31458655
Online,0,0,0,0,52,0,411712,8352032
Online,0,1,1,0,10,0,1014011,10973039
Online,0,3,3,0,7,0,518412,1214701
Offline,1,0,0,0,0,0,1569899,20689932
Online,0,4,3,1,7,0,5298541,9001446
Online,0,1,1,0,8,0,1581868,16173161
Online,0,5,4,1,3,0,20828006,93608768
Online,0,1,1,0,4,0,6089,109845
Online,0,4,4,0,2,1,1916937,9125458
Online,0,7,5,2,26,0,58296640,878395773
Online,0,0,0,0,6,0,331818,1167223
Online,0,0,0,0,6,0,12069,314501
Online,0,1,1,0,9,0,31368590,133705416
Online,0,4,2,2,22,0,547018,9626888
Online,0,5,1,4,16,0,3728302,11432886
Online,0,0,0,0,10,0,11466,22248
Online,0,3,3,0,4,0,17493687,353198293
Online,0,2,1,1,12,0,3407822,57182256
Online,0,0,0,0,15,0,118087,361786
Online,0,1,1,0,28,1,4235345,60655335
Online,0,10,7,3,6,0,15459813,152038800
Online,0,4,2,2,9,0,85121316,309838310
Online,0,1,1,0,51,0,25689382,115190936
Online,0,1,1,0,29,0,23303023,302794282
Online,0,3,2,1,,0,11123419,56180037
Online,0,2,1,1,69,1,11964508,163986058
Online,0,1,1,0,21,1,1474036,5777357
Online,0,0,0,0,7,0,1460800,4046599
Online,0,2,1,1,19,0,115261,383759
Online,0,4,3,1,10,0,7484815,41644358
Online,0,3,3,0,6,0,12367508,100368377
Online,0,1,1,0,6,0,2048544,2839991
Online,0,2,2,0,13,0,3809569,41707466
Online,0,1,1,0,27,0,13415195,113731017
Online,0,6,3,3,30,2,39169556,309579942
Online,0,0,0,0,2,0,19693814,41560787
Online,1,3,3,0,10,0,18934358,142327439
Online,0,1,1,0,3,0,2694969,49102671
Online,0,1,1,0,12,0,51425,1114326
Online,0,0,0,0,5,0,308346,2487535
Online,0,6,6,0,15,0,191476786,280143131
Online,0,3,0,3,3,0,411910,481434
Online,0,0,0,0,1,0,0,0
Online,0,0,0,0,0,0,0,0
Online,0,0,0,0,5,0,3922365,25944712
Online,0,0,0,0,2,0,0,0
Online,0,0,0,0,0,0,40783,261276
Online,0,1,1,0,1,0,30046,236446
Online,0,0,0,0,2,0,740,672
Online,0,0,0,0,3,0,198158,330414
Online,0,0,0,0,0,0,1917406,5446640
Online,0,2,2,0,11,1,148800,1510924
Online,0,4,4,0,8,4,13049073,360996823
Online,0,3,3,0,1,0,18631946,445726662
Online,0,5,1,4,19,0,80710268,44226677
Online,0,1,1,0,14,5,1993455,5779308
Online,0,1,0,1,1,0,12308679,130259524
Online,0,3,3,0,20,0,14131620,37129157
Online,0,3,2,1,2,0,3510375,92508922
Online,0,7,4,3,6,2,7206975,225684360
Online,0,4,3,1,20,0,10955441,40446939
Online,0,2,2,0,25,0,2855260,27864210
Online,0,0,0,0,4,0,0,0
Online,0,2,1,1,27,0,11345378,120603207
Online,0,0,0,0,13,1,65194,115290
Online,0,0,0,0,11,0,2395704,52936460
Online,0,0,0,0,2,0,217133,4716945
Online,0,1,1,0,13,0,313912,1485467
Online,0,6,1,5,25,0,69594808,165827277
Online,0,0,0,0,15,0,0,0
Online,0,4,4,0,30,4,7462634,30391272
Online,0,0,0,0,13,0,4538881,9605386
Online,0,1,0,1,27,0,4677348,1595055
Online,0,8,8,0,9,0,193095853,638208869
Online,0,5,2,3,10,3,125055804,2026852295
Online,0,0,0,0,11,0,0,0
Online,0,4,4,0,4,0,3045134,7547625
Online,0,0,0,0,6,0,0,0
Online,0,2,2,0,3,0,7799414,161846164
Online,0,2,2,0,20,0,198793,277765
Online,0,1,1,0,3,0,510406,1102561
Online,0,0,0,0,6,0,146146,907449
Online,0,2,2,0,8,0,1208600,5541276
Online,0,0,0,0,6,1,0,736
Online,0,3,3,0,0,0,574567,6602722
Online,0,2,2,0,11,0,2663968,32672231
Online,0,2,2,0,4,0,3450090,19426358
Online,0,2,2,0,7,0,16347852,237411988
Online,0,1,0,1,20,0,2842220,32004534
Online,0,2,1,1,12,4,18993758,11058805
Online,0,1,1,0,14,2,6811596,54975205
Online,0,3,1,2,2,5,30428198,474199497
Online,0,1,1,0,9,0,88337,248967
Online,0,2,0,2,25,0,4897396,8818318
Online,0,5,2,3,27,2,6543975,169646960
Online,0,2,2,0,10,0,252283,537657
Online,0,3,3,0,14,2,5946306,76733892
Online,0,4,4,0,6,0,26644937,112057925
Online,0,4,2,2,10,0,355363,747964
Online,0,1,1,0,8,1,16629120,283756135
Online,0,7,6,1,20,0,25536275,243539090
Online,0,7,5,2,12,0,14882342,40499832
Online,0,1,1,0,4,1,103609,553717
Online,0,3,0,3,15,0,26683684,310999420
Online,0,1,0,1,8,1,6088949,106458667
Online,0,1,1,0,37,1,11617295,83626679
Online,0,4,2,2,8,0,8221545,47475554
Offline,0,0,0,0,,,,
Online,0,6,6,0,54,2,43431755,407248399
Online,0,1,1,0,19,2,3790676,140018314
Online,0,2,1,1,11,1,248997,1033463
Online,0,8,8,0,4,0,6261734,38493378
Online,0,1,1,0,19,0,6117753,58280340
Online,1,3,1,2,6,0,5379651,80170491
Online,0,2,2,0,19,0,1106185,10804433
Online,0,4,4,0,33,0,10789456,156689920
Online,0,2,0,2,8,4,19863799,367514518
Online,0,3,3,0,28,0,6847503,208685340
Online,0,1,1,0,14,0,7030894,114706090
Online,0,0,0,0,11,0,2852595,62337735
Online,0,3,2,1,22,0,7554134,182673381
Online,0,3,2,1,10,0,19429195,375392621
Online,0,6,5,1,16,0,10052386,17989461
Online,0,6,4,2,11,1,8124568,103643915
Online,0,3,2,1,15,0,10086406,121096572
Online,0,1,1,0,7,0,49053723,1959649824
Online,0,1,1,0,24,0,1771364,77220646
Online,0,0,0,0,1,0,11544,43431
Online,0,3,1,2,8,0,42599024,18745550
Online,0,5,4,1,9,0,16605221,25607928
Online,0,0,0,0,6,0,2031247,19165982
Offline,3,0,0,0,0,0,,
Online,0,0,0,0,12,1,1424639,36229112
Online,0,6,5,1,2,0,12067234,427859919
Online,0,5,4,1,12,1,2872687,20101111
Online,0,1,1,0,6,2,144263,336922
Online,0,1,1,0,9,0,376921,1932047
Online,0,3,3,0,9,1,5954839,23256006
Online,0,4,3,1,6,0,997230,675904
Online,0,6,5,1,26,3,70829108,1764765693
Online,0,0,0,0,5,0,20572,75126
Online,0,2,1,1,3,0,5612562,31572149
Online,0,1,0,1,11,3,70193008,171134116
Online,0,4,4,0,8,0,17301929,226367139
Online,0,3,1,2,2,0,1676573,12926810
Online,0,0,0,0,8,0,0,0
Online,0,6,3,3,19,1,55826500,469270537
Online,0,2,1,1,15,2,19182207,271961337
Online,0,3,2,1,19,0,5638933,53812941
Online,1,1,1,0,10,0,643714,3853977
Online,0,6,4,2,11,0,16307052,71252369
Online,0,0,0,0,3,0,0,0
Online,0,0,0,0,19,0,9015,37771
Online,0,4,1,3,7,0,9083158,86505722
Online,0,0,0,0,5,0,1028933,9806237
Online,0,0,0,0,31,0,0,0
Online,0,1,1,0,,,44313018,5476058
Online,0,4,4,0,19,0,1535794,25454250
Online,0,0,0,0,6,0,494254,2695154
Online,3,0,0,0,9,1,554,336
Online,0,2,1,1,6,0,814415,3147534
Online,0,0,0,0,2,1,996,14178
Online,0,5,5,0,2,0,14158450,209672335
Online,0,0,0,0,11,1,0,0
Online,0,2,1,1,26,1,9113046,243520154
Online,0,0,0,0,15,3,0,0
Online,0,0,0,0,9,1,2435,2434
Offline,0,0,0,0,0,0,,
Online,0,1,0,1,3,0,13398572,268788067
Online,1,1,1,0,37,0,3863762,18055002
Online,0,1,0,1,1,1,15833121,384011162
Online,0,0,0,0,7,1,1174383,5401220
Online,0,0,0,0,8,0,0,0
Online,0,5,5,0,9,1,3395624,16451977
Online,4,1,1,0,2,1,5133293,90918116
Online,0,3,2,1,33,2,587790,14686554
Online,0,0,0,0,1,0,,
Online,0,2,2,0,1,0,7049722,4278805
Online,0,0,0,0,10,0,18414070,5742424
Online,0,1,1,0,4,0,476216,3768562
Online,0,1,1,0,18,0,14189579,626443446
Online,0,1,1,0,0,0,1360845,25879440
Online,0,0,0,0,0,0,48780,93585
Online,0,0,0,0,22,0,6291299,17571626
Online,0,1,0,1,1,0,2241787,10185655
Online,0,9,6,3,1,1,10929329,216870310
Online,0,0,0,0,19,2,350288,3189522
Online,0,0,0,0,28,0,1579,2167
Online,0,0,0,0,3,2,489650,828710
Online,0,1,1,0,8,0,176715,414637
Online,0,2,0,2,12,0,3440104,19833528
Online,0,0,0,0,14,1,308,107082
Online,0,2,0,2,4,1,4492265,85057193
Online,0,3,1,2,10,0,6129714,606205124
Online,0,0,0,0,8,0,0,0
Online,0,10,7,3,40,4,19782845,757097894
Online,0,0,0,0,47,12,34700,232573
Online,0,1,1,0,4,0,69987,1042875
